2025-01-08T11:00:42 | 04ad10e0-79dd-4218-8796-c7b971905fff | 2025-01-08T11:00:42 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-13T21:59:31 | 0d82c913-c073-4dc7-9429-787930834735 | 2025-01-13T21:59:31 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-13T21:59:49 | a8f02f55-2f3b-49fb-a271-cc93673c7ef2 | 2025-01-13T21:59:49 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-13T21:59:59 | c0126bff-1ac2-428b-b1e6-a0da65170bdd | 2025-01-13T21:59:59 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:22:17 | 81420426-7a2c-405d-ade2-74e8d93e89e9 | 2025-01-14T12:22:17 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:23:22 | 647ca1e9-003d-4946-9cda-4c7a2502f38d | 2025-01-14T12:23:22 | ACTION: User rayhan logged in successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:23:23 | bc944d1e-5409-4f9f-8526-364cf53d0f9d | 2025-01-14T12:23:23 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:23:42 | 48367cdb-a744-47c3-957a-23d89e3c409f | 2025-01-14T12:23:42 | ACTION: Profile page accessed for user rayhan. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:07 | 1b69f3aa-34fc-460f-9db7-4dcd6d67feb0 | 2025-01-14T12:24:07 | ACTION: New post created by user 3. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:08 | 4102d259-0a63-40c7-864c-80a0c6f727b5 | 2025-01-14T12:24:08 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:32 | ef7b45fe-8804-4b83-bbbb-3b004d9917ff | 2025-01-14T12:24:32 | ACTION: User logged out successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:32 | abe52cd2-46fd-49f9-becd-4f35bfb23206 | 2025-01-14T12:24:32 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:48 | bce440de-bf61-4eb2-a1ae-5323d105b2e3 | 2025-01-14T12:24:48 | ACTION: User admin logged in successfully. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:48 | fd9fb6a8-33d8-4786-919e-3cdaed466895 | 2025-01-14T12:24:48 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:24:58 | dfaf3474-bb36-4fc2-99ce-8fc2cf67e23c | 2025-01-14T12:24:58 | ACTION: Admin admin accessed the dashboard. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:25:03 | e5345862-1aba-404f-9727-fa1851119699 | 2025-01-14T12:25:03 | ACTION: Home page accessed. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2025-01-14T12:25:12 | bc024787-1d8e-456f-bf0c-e5508ff7286c | 2025-01-14T12:25:12 | ACTION: Admin admin accessed the logs page. | IP: 127.0.0.1 | APP: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
